"りょうかいです！
うみちゃって呼びます",eight_2004922,rainbow__eighte,https://twitter.com/eight_2004922/status/1023540793523417088,1532866116
はーい！！,rainbow__eighte,eight_2004922,https://twitter.com/rainbow__eighte/status/1023546269405310976,1532867421
content,username,replyto,permalink,time
"@,eight_2004922, 

ふぉろー 有難うございます\( ¨̮ )/♡

ふぉろばさせて頂きました",rainbow__eighte,,https://twitter.com/rainbow__eighte/status/1022464473255141378,1532609501
"こちらこそフォロバありがとうございます,
よろしくお願いします ~~ ",eight_2004922,rainbow__eighte,https://twitter.com/eight_2004922/status/1022464846325932032,1532609590
お願いします,rainbow__eighte,eight_2004922,https://twitter.com/rainbow__eighte/status/1022466353008017409,1532609949
"もちろんです ,
なんて呼んだらいいでしょう？",eight_2004922,rainbow__eighte,https://twitter.com/eight_2004922/status/1022467395896598528,1532610198
うみでもなんでも大丈夫ですよ！,rainbow__eighte,eight_2004922,https://twitter.com/rainbow__eighte/status/1022487961911226368,1532615101
"りょうかいです！
うみちゃって呼びます",eight_2004922,rainbow__eighte,https://twitter.com/eight_2004922/status/1023540793523417088,1532866116
はーい！！,rainbow__eighte,eight_2004922,https://twitter.com/rainbow__eighte/status/1023546269405310976,1532867421
